visitor_id,nb purchase for this visitorid
visitor_11,1
visitor_12,1
visitor_18,1
visitor_36,1
visitor_46,1
visitor_55,1
visitor_56,1
visitor_64,1
visitor_70,1
visitor_78,1
visitor_79,1
visitor_81,1
visitor_82,1
visitor_88,1
visitor_92,1
visitor_97,1
visitor_112,1
visitor_117,1
visitor_144,1
visitor_152,1
visitor_153,1
visitor_173,1
visitor_182,1
visitor_183,1
visitor_196,1
visitor_203,1
visitor_209,1
visitor_231,1
visitor_241,1
visitor_242,1
visitor_250,1
visitor_277,1
visitor_280,1
visitor_287,1
visitor_296,1
visitor_298,1
visitor_301,1
visitor_303,1
visitor_311,1
visitor_312,1
visitor_316,1
visitor_327,1
visitor_336,1
visitor_345,1
visitor_357,1
visitor_358,1
visitor_363,1
visitor_371,1
visitor_376,1
visitor_393,1
visitor_399,1
visitor_406,1
visitor_409,1
visitor_411,1
visitor_416,1
visitor_439,1
visitor_440,1
visitor_447,1
visitor_453,1
visitor_456,1
visitor_472,1
visitor_474,1
visitor_479,1
visitor_497,1
visitor_498,1
visitor_509,1
visitor_537,1
visitor_539,1
visitor_540,1
visitor_551,1
visitor_554,1
visitor_557,1
visitor_579,1
visitor_587,1
visitor_594,1
visitor_604,1
visitor_620,1
visitor_621,1
visitor_627,1
visitor_628,1
visitor_630,1
visitor_631,1
visitor_639,1
visitor_644,1
visitor_645,1
visitor_647,1
visitor_651,1
visitor_670,1
visitor_677,1
visitor_679,1
visitor_690,1
visitor_691,1
visitor_698,1
visitor_736,1
visitor_738,1
visitor_741,1
visitor_752,1
visitor_757,1
visitor_759,1
visitor_779,1
visitor_780,1
visitor_787,1
visitor_789,1
visitor_790,1
visitor_792,1
visitor_799,1
visitor_822,1
visitor_823,1
visitor_827,1
visitor_854,1
visitor_858,1
visitor_865,1
visitor_866,1
visitor_873,1
visitor_877,1
visitor_880,1
visitor_881,1
visitor_886,1
visitor_887,1
visitor_888,1
visitor_889,1
visitor_890,1
visitor_894,1
visitor_914,1
visitor_921,1
visitor_925,1
visitor_928,1
visitor_938,1
visitor_939,1
visitor_941,1
visitor_956,1
visitor_969,1
visitor_973,1
visitor_978,1
visitor_999,1
visitor_1001,1
visitor_1013,1
visitor_1054,1
visitor_1059,1
visitor_1064,1
visitor_1074,1
visitor_1078,1
visitor_1079,1
visitor_1085,1
visitor_1108,1
visitor_1111,1
visitor_1116,1
visitor_1120,1
visitor_1127,1
visitor_1133,1
visitor_1136,1
visitor_1151,1
visitor_1158,1
visitor_1161,1
visitor_1164,1
visitor_1169,1
visitor_1180,1
visitor_1192,1
visitor_1199,1
visitor_1211,1
visitor_1215,1
visitor_1223,1
visitor_1224,1
visitor_1238,1
visitor_1281,1
visitor_1284,1
visitor_1294,1
visitor_1305,1
visitor_1307,1
visitor_1309,1
visitor_1320,1
visitor_1321,1
visitor_1333,1
visitor_1336,1
visitor_1340,1
visitor_1343,1
visitor_1346,1
visitor_1358,1
visitor_1359,1
visitor_1360,1
visitor_1372,1
visitor_1375,1
visitor_1381,1
visitor_1391,1
visitor_1402,1
visitor_1438,1
visitor_1441,1
visitor_1450,1
visitor_1454,1
visitor_1470,1
visitor_1472,1
visitor_1476,1
visitor_1479,1
visitor_1487,1
visitor_1489,1
visitor_1498,1
visitor_1499,1
visitor_1504,1
visitor_1508,1
visitor_1522,1
visitor_1526,1
visitor_1530,1
visitor_1546,1
visitor_1547,1
visitor_1553,1
visitor_1554,1
visitor_1560,1
visitor_1570,1
visitor_1572,1
visitor_1576,1
visitor_1587,1
visitor_1588,1
visitor_1589,1
visitor_1596,1
visitor_1602,1
visitor_1611,1
visitor_1629,1
visitor_1646,1
visitor_1648,1
visitor_1657,1
visitor_1670,1
visitor_1675,1
visitor_1678,1
visitor_1679,1
visitor_1699,1
visitor_1704,1
visitor_1711,1
visitor_1716,1
visitor_1718,1
visitor_1728,1
visitor_1749,1
visitor_1757,1
visitor_1761,1
visitor_1772,1
visitor_1785,1
visitor_1788,1
visitor_1808,1
visitor_1821,1
visitor_1826,1
visitor_1827,1
visitor_1830,1
visitor_1832,1
visitor_1833,1
visitor_1841,1
visitor_1842,1
visitor_1847,1
visitor_1869,1
visitor_1883,1
visitor_1897,1
visitor_1901,1
visitor_1905,1
visitor_1931,1
visitor_1944,1
visitor_1949,1
visitor_1951,1
visitor_1964,1
visitor_1983,1
visitor_1989,1
visitor_1993,1
visitor_1997,1
visitor_1999,1
visitor_2002,1
visitor_2008,1
visitor_2011,1
visitor_2013,1
visitor_2018,1
visitor_2023,1
visitor_2035,1
visitor_2042,1
visitor_2046,1
visitor_2049,1
visitor_2062,1
visitor_2063,1
visitor_2065,1
visitor_2068,1
visitor_2075,1
visitor_2077,1
visitor_2086,1
visitor_2093,1
visitor_2105,1
visitor_2125,1
visitor_2126,1
visitor_2131,1
visitor_2139,1
visitor_2141,1
visitor_2142,1
visitor_2145,1
visitor_2149,1
visitor_2150,1
visitor_2160,1
visitor_2162,1
visitor_2164,1
visitor_2166,1
visitor_2169,1
visitor_2176,1
visitor_2194,1
visitor_2196,1
visitor_2201,1
visitor_2209,1
visitor_2216,1
visitor_2227,1
visitor_2233,1
visitor_2243,1
visitor_2250,1
visitor_2266,1
visitor_2271,1
visitor_2272,1
visitor_2275,1
visitor_2279,1
visitor_2282,1
visitor_2287,1
visitor_2290,1
visitor_2306,1
visitor_2312,1
visitor_2314,1
visitor_2316,1
visitor_2319,1
visitor_2320,1
visitor_2324,1
visitor_2328,1
visitor_2331,1
visitor_2342,1
visitor_2345,1
visitor_2368,1
visitor_2371,1
visitor_2376,1
visitor_2403,1
visitor_2405,1
visitor_2406,1
visitor_2430,1
visitor_2439,1
visitor_2443,1
visitor_2449,1
visitor_2455,1
visitor_2465,1
visitor_2466,1
visitor_2479,1
visitor_2481,1
visitor_2484,1
visitor_2490,1
visitor_2493,1
visitor_2509,1
visitor_2510,1
visitor_2530,1
visitor_2548,1
visitor_2555,1
visitor_2560,1
visitor_2571,1
visitor_2573,1
visitor_2578,1
visitor_2594,1
visitor_2596,1
visitor_2597,1
visitor_2600,1
visitor_2601,1
visitor_2605,1
visitor_2613,1
visitor_2616,1
visitor_2631,1
visitor_2656,1
visitor_2657,1
visitor_2665,1
visitor_2671,1
visitor_2688,1
visitor_2691,1
visitor_2693,1
visitor_2723,1
visitor_2727,1
visitor_2739,1
visitor_2740,1
visitor_2752,1
visitor_2762,1
visitor_2771,1
visitor_2778,1
visitor_2789,1
visitor_2791,1
visitor_2805,1
visitor_2808,1
visitor_2822,1
visitor_2824,1
visitor_2835,1
visitor_2843,1
visitor_2845,1
visitor_2884,1
visitor_2904,1
visitor_2905,1
visitor_2911,1
visitor_2918,1
visitor_2922,1
visitor_2923,1
visitor_2924,1
visitor_2925,1
visitor_2928,1
visitor_2946,1
visitor_2948,1
visitor_2968,1
visitor_2971,1
visitor_2972,1
visitor_2978,1
visitor_2991,1
visitor_2996,1
visitor_2999,1
visitor_3001,1
visitor_3004,1
visitor_3006,1
visitor_3007,1
visitor_3008,1
visitor_3009,1
visitor_3012,1
visitor_3035,1
visitor_3036,1
visitor_3044,1
visitor_3047,1
visitor_3056,1
visitor_3059,1
visitor_3060,1
visitor_3069,1
visitor_3110,1
visitor_3111,1
visitor_3116,1
visitor_3117,1
visitor_3136,1
visitor_3149,1
visitor_3151,1
visitor_3163,1
visitor_3166,1
visitor_3167,1
visitor_3170,1
visitor_3176,1
visitor_3184,1
visitor_3185,1
visitor_3190,1
visitor_3194,1
visitor_3205,1
visitor_3213,1
visitor_3218,1
visitor_3219,1
visitor_3221,1
visitor_3249,1
visitor_3252,1
visitor_3254,1
visitor_3255,1
visitor_3256,1
visitor_3272,1
visitor_3280,1
visitor_3287,1
visitor_3289,1
visitor_3292,1
visitor_3296,1
visitor_3297,1
visitor_3302,1
visitor_3305,1
visitor_3306,1
visitor_3316,1
visitor_3323,1
visitor_3324,1
visitor_3325,1
visitor_3328,1
visitor_3330,1
visitor_3338,1
visitor_3340,1
visitor_3342,1
visitor_3345,1
visitor_3353,1
visitor_3363,1
visitor_3365,1
visitor_3372,1
visitor_3378,1
visitor_3384,1
visitor_3399,1
visitor_3410,1
visitor_3417,1
visitor_3447,1
visitor_3452,1
visitor_3453,1
visitor_3457,1
visitor_3470,1
visitor_3480,1
visitor_3485,1
visitor_3497,1
visitor_3502,1
visitor_3508,1
visitor_3510,1
visitor_3511,1
visitor_3515,1
visitor_3526,1
visitor_3539,1
visitor_3543,1
visitor_3544,1
visitor_3549,1
visitor_3562,1
visitor_3565,1
visitor_3570,1
visitor_3571,1
visitor_3589,1
visitor_3591,1
visitor_3592,1
visitor_3623,1
visitor_3634,1
visitor_3638,1
visitor_3642,1
