date,place,salesman,Time (ex : 18 means from 18.00 to 19.00),visitor_id,"salesman suggested flyers (no:0, yes:1)","visitorid took flyer (no:0, yes:1)"
5/1/2014,Bastille,Helene,18,visitor_35,0,0
5/1/2014,Bastille,Helene,18,visitor_37,1,0
5/1/2014,Bastille,Helene,18,visitor_48,0,0
5/1/2014,Bastille,Helene,18,visitor_111,1,1
5/1/2014,Bastille,Helene,18,visitor_112,0,0
5/1/2014,Bastille,Helene,18,visitor_123,0,0
5/1/2014,Bastille,Helene,18,visitor_169,0,0
5/1/2014,Bastille,Helene,18,visitor_192,1,0
5/1/2014,Bastille,Helene,18,visitor_199,0,0
5/1/2014,Bastille,Helene,18,visitor_205,0,0
5/1/2014,Bastille,Helene,18,visitor_209,0,0
5/1/2014,Bastille,Helene,18,visitor_235,0,0
5/1/2014,Bastille,Helene,18,visitor_252,0,0
5/1/2014,Bastille,Helene,18,visitor_299,0,0
5/1/2014,Bastille,Helene,18,visitor_316,1,0
5/1/2014,Bastille,Helene,18,visitor_380,1,1
5/1/2014,Bastille,Helene,18,visitor_384,0,0
5/1/2014,Bastille,Helene,18,visitor_399,0,0
5/1/2014,Bastille,Helene,18,visitor_404,0,0
5/1/2014,Bastille,Helene,18,visitor_451,0,0
5/1/2014,Bastille,Helene,18,visitor_469,0,0
5/1/2014,Bastille,Helene,18,visitor_474,0,0
5/1/2014,Bastille,Helene,18,visitor_490,0,0
5/1/2014,Bastille,Helene,18,visitor_498,0,0
5/1/2014,Bastille,Helene,18,visitor_521,0,0
5/1/2014,Bastille,Helene,18,visitor_541,0,0
5/1/2014,Bastille,Helene,18,visitor_577,0,0
5/1/2014,Bastille,Helene,18,visitor_599,0,0
5/1/2014,Bastille,Helene,19,visitor_646,0,0
5/1/2014,Bastille,Helene,19,visitor_648,0,0
5/1/2014,Bastille,Helene,19,visitor_664,0,0
5/1/2014,Bastille,Helene,19,visitor_676,0,0
5/1/2014,Bastille,Helene,19,visitor_720,0,0
5/1/2014,Bastille,Helene,19,visitor_729,1,1
5/1/2014,Bastille,Helene,19,visitor_731,0,0
5/1/2014,Bastille,Helene,19,visitor_733,0,0
5/1/2014,Bastille,Helene,19,visitor_735,0,0
5/1/2014,Bastille,Helene,19,visitor_739,1,0
5/1/2014,Bastille,Helene,19,visitor_774,0,0
5/1/2014,Bastille,Helene,19,visitor_787,0,0
5/1/2014,Bastille,Helene,19,visitor_812,1,1
5/1/2014,Bastille,Helene,19,visitor_823,0,0
5/1/2014,Bastille,Helene,19,visitor_835,1,1
5/1/2014,Bastille,Helene,19,visitor_850,0,0
5/1/2014,Bastille,Helene,19,visitor_857,1,1
5/1/2014,Bastille,Helene,19,visitor_886,0,0
5/1/2014,Bastille,Helene,19,visitor_924,1,1
5/1/2014,Bastille,Helene,19,visitor_934,0,0
5/1/2014,Bastille,Helene,19,visitor_955,0,0
5/1/2014,Bastille,Helene,19,visitor_965,0,0
5/1/2014,Bastille,Helene,19,visitor_993,1,0
