Created Date,C.ID,Loan Amount Requried,Own House,Existing Loan Obligations,Business Segment ,Business Product,Turnover,Status,CCT Approved Date,Bounce Status 
2020-09-29 13:43:19,763,150000,Yes,18631,Trading,Footwear,19000,CCT Approved,2020-09-29 20:32:49,Bounce
2020-09-25 16:01:02,762,150000,No,0,Trading and Services,Auto and Allied Services Works,8000,CCT Approved,2020-09-25 18:37:56,On Time
2020-09-25 12:01:53,761,150000,Yes,19082,Trading,General Store,20000,CCT Approved,2020-09-25 13:28:06,On Time
2020-09-17 16:48:30,759,100000,No,10413,Trading,Pharmacy,5000,CCT Approved,2020-09-18 20:33:13,Bounce
2020-09-17 14:53:08,756,150000,Yes,1710,Service,Diagnostic Test Center,6000,CCT Approved,2020-09-19 12:02:07,On Time
2020-09-17 14:51:06,755,70000,No,3208,Service,Tailoring and Embroidery,5000,CCT Approved,2020-09-19 12:01:01,On Time
2020-09-17 14:09:55,754,150000,Yes,10376,Trading,General Store,7000,CCT Approved,2020-09-18 20:35:11,Bounce
2020-09-17 13:14:18,753,100000,No,6353,Trading,Fancy Store,8000,CCT Approved,2020-09-18 12:01:52,On Time
2020-09-17 11:58:52,750,150000,No,1106,Trading,Cloth Store,6000,CCT Approved,2020-09-18 12:04:35,On Time
2020-09-17 11:41:32,749,150000,No,13436,Trading and Services,Auto and Allied Services Works,8000,CCT Approved,2020-09-22 21:37:13,Bounce
2020-09-16 18:23:05,748,100000,Yes,0,Trading,General Store,5000,CCT Approved,2020-09-17 18:03:03,Bounce
2020-09-16 16:25:43,747,150000,No,2241,Trading,Cloth Store,10000,CCT Approved,2020-09-23 18:55:43,Bounce
2020-09-16 14:09:24,745,150000,Yes,15455,Manufacturing,Carpentry Work,12000,CCT Approved,2020-09-16 17:01:04,On Time
2020-09-16 13:15:31,743,100000,No,15563,Trading,Fancy Store,7000,CCT Approved,2020-09-17 13:51:37,Bounce
2020-09-16 9:33:45,741,150000,Yes,19095,Trading,Cloth Store,11000,CCT Approved,2020-09-17 17:42:44,Bounce
2020-09-15 14:52:05,738,100000,Yes,25070,Trading,"Cement,Hardware & Iron",15000,CCT Approved,2020-09-16 20:05:12,Bounce
